,event_date,longitude,latitude,treecover2000
307,2007-11-19 00:00:00,125.5033192,9.762920707,0
308,2007-11-19 00:00:00,125.0039,12.5054,0
309,2007-11-19 00:00:00,125.570322,9.686187255,92
310,2007-11-19 00:00:00,125.5700193,9.630751852,45
311,2007-11-19 00:00:00,124.2856,13.6068,90
312,2007-11-20 00:00:00,110.3272,30.9947,59
313,2007-11-20 00:00:00,125.302781,8.204811901,4
314,2007-11-20 00:00:00,123.8514,10.3789,55
315,2007-11-20 00:00:00,125.277963,7.376079815,45
316,2007-11-20 00:00:00,124.3458148,8.385243799,100
317,2007-11-20 00:00:00,124.5345867,8.087753906,0
318,2007-11-22 00:00:00,-15.441,28.1223,0
319,2007-11-23 00:00:00,121.3088,14.4882,74
320,2007-11-23 00:00:00,124.21,13.949,98
321,2007-11-24 00:00:00,124.1604,13.7856,97
322,2007-11-25 00:00:00,121.25,17.75,13
323,2007-11-26 00:00:00,120.9096,18.5038,91
324,2007-11-28 00:00:00,-155.8801,19.4272,2
325,2007-11-30 00:00:00,-117.1378,33.0409,0
326,2007-12-01 00:00:00,13.8188,47.8734,0
327,2007-12-03 00:00:00,-123.0135,47.0568,12
328,2007-12-03 00:00:00,-122.3406,47.6373,0
329,2007-12-03 00:00:00,-123.1628,47.3434,0
330,2007-12-03 10:00:00,-123.1341,49.3,82
331,2007-12-04 17:30:00,-123.8673,43.6768,100
332,2007-12-05 00:00:00,107.4435,-6.7883,31
333,2007-12-05 00:00:00,-122.416,47.645,47
334,2007-12-07 14:30:00,-158.121,21.462,0
335,2007-12-08 00:00:00,-84.822,39.101,100
336,2007-12-08 00:00:00,-122.2039,47.4728,0
337,2007-12-11 00:00:00,38.235,-3.571,0
338,2007-12-11 00:00:00,-60.566,11.267,91
339,2007-12-11 00:00:00,-60.644,11.3,97
340,2007-12-11 00:00:00,-70.707,19.455,0
341,2007-12-11 12:00:00,-123.336,46.1049,98
342,2007-12-12 00:00:00,-66.051,18.432,0
343,2007-12-12 00:00:00,-123.204,46.103,0
344,2007-12-16 00:00:00,-79.7569,40.3875,1
345,2007-12-19 00:00:00,-74.7631,4.847,0
346,2007-12-24 00:00:00,81.0473,6.9935,59
347,2007-12-26 00:00:00,111.1835,-7.6511,90
348,2007-12-26 00:00:00,109.547,-7.6213,37
349,2007-12-31 00:00:00,111.1167,-7.6667,0
350,2008-01-01 00:00:00,-79.732,40.3916,36
351,2008-01-03 00:00:00,125.1251,10.1831,95
352,2008-01-03 00:00:00,106.5458,29.5524,0
353,2008-01-03 00:00:00,125.2172,10.0374,97
354,2008-01-03 00:00:00,114.4396,4.6401,87
355,2008-01-04 00:00:00,105.9,20.5667,0
356,2008-01-06 00:00:00,-117.207,32.8008,0
