event_date,longitude,latitude,temp
2007-10-11 00:00:00,-84.407,9.9869,20.6
2007-10-11 00:00:00,-83.9451,10.0214,20.6
2007-10-12 00:00:00,-77.7405,18.1257,26.5
2007-10-12 00:00:00,-72.4133,18.7335,30.6
2007-10-13 00:00:00,-76.7719,2.9437,22.4
2007-10-14 00:00:00,123.0333,10.3333,27.5
2007-10-14 06:45:00,-118.47,34.3778,16.6
2007-10-15 00:00:00,107.9408,15.6045,24.7
2007-10-15 00:00:00,89.4,22.5333,25.9
2007-10-17 00:00:00,-76.35,17.95,27.0
2007-10-17 00:00:00,124.033,12.75,27.8
2007-10-18 00:00:00,167.9581,-44.7493,5.1
2007-10-18 00:00:00,-122.6717,45.2729,12.5
2007-10-19 00:00:00,91.5327,22.894,27.2
2007-10-19 00:00:00,94.1162,25.4379,23.3
2007-10-19 00:00:00,116.4453,6.043,27.4
2007-10-19 00:00:00,120.5519,16.3183,19.5
2007-10-21 00:00:00,93.4333,24.75,21.0
2007-10-24 00:00:00,-84.7575,10.0715,21.6
2007-10-26 00:00:00,76.6953,11.4046,24.7
2007-10-26 00:00:00,150.4476,-10.3038,29.8
2007-10-26 00:00:00,15.2962,-4.3269,22.7
2007-10-26 01:00:00,98.3071,7.8882,25.1
2007-10-28 00:00:00,124.35,13.7,25.7
2007-10-28 00:00:00,-45.2007,-22.8287,26.3
2007-10-28 00:00:00,-4.823,56.1997,9.6
2007-10-29 00:00:00,123.3667,13.4,27.3
2007-10-29 00:00:00,15.266,-4.276,27.0
2007-10-29 00:00:00,-70.044,18.427,24.7
2007-10-29 00:00:00,-72.3361,18.5146,28.1
2007-10-30 00:00:00,107.966,15.5946,25.4
2007-10-30 00:00:00,77.1236,11.2777,25.6
2007-10-30 00:00:00,-118.4948,35.1368,13.9
2007-10-31 00:00:00,-76.7088,18.037,26.3
2007-10-31 00:00:00,-76.9659,18.2152,26.3
2007-10-31 00:00:00,-92.5534,17.9493,25.1
2007-10-31 00:00:00,-76.6479,17.9384,26.3
2007-11-01 00:00:00,-70.6,19.305,26.3
2007-11-02 00:00:00,-121.9383,45.6706,5.4
2007-11-03 00:00:00,-157.829,21.3131,24.7
2007-11-04 00:00:00,-93.306,17.39,23.7
2007-11-04 00:00:00,124.3807,13.7143,25.8
2007-11-04 00:00:00,120.6101,16.3748,19.9
2007-11-05 00:00:00,108.4852,15.234,23.1
2007-11-06 00:00:00,103.685,35.978,3.4
2007-11-06 00:00:00,80.4119,6.1454,25.8
2007-11-09 00:00:00,108.2167,15.3333,23.8
2007-11-10 15:20:00,108.903,34.1622,9.7
2007-11-12 00:00:00,-77.2,18.4,25.2
2007-11-13 00:00:00,-121.5386,46.8677,1.5
2007-11-13 22:00:00,125.5245,11.1719,25.8
2007-11-14 02:00:00,146.392,-38.1718,15.7
2007-11-17 00:00:00,-60.6312,11.2965,25.1
2007-11-18 00:00:00,21.65,37.4833,11.2
2007-11-19 00:00:00,125.5033192,9.762920707,25.4
2007-11-19 00:00:00,125.0039,12.5054,25.0
2007-11-19 00:00:00,125.570322,9.686187255,25.4
2007-11-19 00:00:00,125.5700193,9.630751852,25.3
2007-11-19 00:00:00,124.2856,13.6068,26.1
2007-11-20 00:00:00,110.3272,30.9947,13.3
2007-11-20 00:00:00,125.302781,8.204811901,24.2
2007-11-20 00:00:00,123.8514,10.3789,26.2
2007-11-20 00:00:00,125.277963,7.376079815,28.3
2007-11-20 00:00:00,124.3458148,8.385243799,25.3
2007-11-20 00:00:00,124.5345867,8.087753906,25.0
2007-11-22 00:00:00,-15.441,28.1223,19.6
2007-11-23 00:00:00,121.3088,14.4882,25.2
2007-11-23 00:00:00,124.21,13.949,24.9
2007-11-24 00:00:00,124.1604,13.7856,24.7
2007-11-25 00:00:00,121.25,17.75,24.8
2007-11-26 00:00:00,120.9096,18.5038,25.8
2007-11-28 00:00:00,-155.8801,19.4272,18.0
2007-11-30 00:00:00,-117.1378,33.0409,15.6
2007-12-01 00:00:00,13.8188,47.8734,2.9
2007-12-03 00:00:00,-123.0135,47.0568,12.6
2007-12-03 00:00:00,-122.3406,47.6373,12.4
