event_date,longitude,latitude,humidity
2008-05-09 00:00:00,-79.7199,36.6619,72.15
2008-05-11 05:45:00,-76.9216,38.8162,86.21
2008-05-12 00:00:00,-81.2584,38.1362,87.68
2008-05-13 00:00:00,123.26,9.2903,93.31
2008-05-14 00:00:00,123.2211,9.2404,81.86
2008-05-17 00:00:00,-116.9875,51.3336,57.21
2008-05-17 00:00:00,120.6769,16.3639,97.43
2008-05-17 00:00:00,103.4823163,31.06891436,69.27
2008-05-17 00:00:00,122.4742,11.0551,82.77
2008-05-18 00:00:00,120.832,16.4956,96.75
2008-05-18 00:00:00,120.7967,16.7489,97.19
2008-05-18 00:00:00,-117.4619,49.7701,61.8
2008-05-19 00:00:00,112.5827,-7.0678,71.57
2008-05-20 00:00:00,-84.5289,39.0447,69.39
2008-05-20 00:00:00,178.3623,-18.0903,92.72
2008-05-21 00:00:00,-122.197,47.5023,75.47
2008-05-22 00:00:00,-117.6428,33.7112,71.14
2008-05-22 00:00:00,-70.4516,-34.103,89.09
2008-05-23 00:00:00,-118.0459,34.1742,68.3
2008-05-24 00:00:00,72.3183,34.8685,67.43
2008-05-24 00:00:00,123.8852,10.3472,88.46
2008-05-28 00:00:00,76.8403,9.7327,81.32
2008-05-28 00:00:00,-106.7839,39.3707,33.21
2008-05-29 00:00:00,-85.3555,10.4024,91.82
2008-05-29 00:00:00,121.2541,14.7231,81.63
2008-05-30 00:00:00,7.376,45.7513,79.92
2008-05-30 00:00:00,7.6639,44.6467,87.62
2008-05-30 00:00:00,7.1526,44.8098,89.82
2008-05-30 00:00:00,80.3897,6.6643,82.02
2008-05-31 00:00:00,-75.6039,6.2746,81.32
2008-06-01 00:00:00,-90.6755,14.4226,95.54
2008-06-02 00:00:00,43.6319,15.5892,41.22
2008-06-02 00:00:00,-89.2687,13.7205,93.77
2008-06-02 00:00:00,35.7774,0.4406,77.57
2008-06-02 06:00:00,123.8359355,10.33602912,85.18
2008-06-06 00:00:00,73.8377,15.3925,93.38
2008-06-06 00:00:00,114.0818,22.6214,95.5
2008-06-06 00:00:00,123.9013,10.3114,79.78
2008-06-06 00:00:00,120.280149,-8.773461589,75.68
2008-06-06 00:00:00,152.8915,-26.8494,80.85
2008-06-07 00:00:00,114.0519,22.3682,95.22
2008-06-07 00:00:00,106.7361,10.7069,86.73
2008-06-07 00:00:00,113.5051,22.7102,93.59
2008-06-07 00:00:00,-86.4209,39.4279,83.15
2008-06-09 00:00:00,93.9784,24.6596,80.36
2008-06-10 00:00:00,119.6038,-4.8386,93.53
2008-06-12 00:00:00,131.5241,33.2367,70.06
2008-06-13 10:20:00,111.3054,37.7356,55.14
2008-06-14 00:00:00,141.0151,38.7175,59.1
2008-06-14 00:00:00,93.6287,27.0998,94.79
2008-06-15 00:00:00,94.0989,27.2298,82.15
2008-06-15 00:00:00,75.0944,32.5659,71.95
2008-06-16 00:00:00,-75.2291,41.942,78.29
2008-06-16 00:00:00,114.3093,30.5475,82.26
2008-06-18 00:00:00,30.6667,-30.3167,89.86
2008-06-18 00:00:00,-90.5403,14.651,82.37
2008-06-19 00:00:00,93.8275,24.9336,89.62
2008-06-20 00:00:00,30.6551,-30.4489,74.84
2008-06-20 00:00:00,-92.9331,35.7885,82.96
2008-06-21 00:00:00,124.6815,6.2189,89.09
2008-06-21 00:00:00,123.08,10.26,84.12
2008-06-21 00:00:00,124.2396,7.1514,77.07
2008-06-21 00:00:00,130.5773,32.6457,94.96
2008-06-22 00:00:00,102.72,25.04,70.69
2008-06-22 00:00:00,130.9333,32.2667,89.11
2008-06-23 00:00:00,45.7167,41.75,61.52
2008-06-24 00:00:00,121.9823,6.9517,79.15
2008-06-25 00:00:00,76.69,11.41,79.22
2008-06-25 00:00:00,115.89,28.67,73.35
2008-06-26 00:00:00,118.2,31.07,82.8
2008-06-27 00:00:00,113.02,25.79,74.93
2008-06-29 00:00:00,123.31,9.53,89.41
2008-06-29 00:00:00,-74.27,40.78,71.62
2008-06-29 00:00:00,114.05,22.54,90.25
2008-06-29 00:00:00,88.28,26.89,82.67
2008-06-29 00:00:00,-4.05,5.4833,97.14
2008-06-30 00:00:00,88.482,27.0771,92.32
2008-06-30 00:00:00,103.5,31.02,83.98
2008-07-01 00:00:00,103.49,31.07,67.53
2008-07-01 00:00:00,-121.58,50.23,57.55
2008-07-01 00:00:00,-118.82,52.96,58.5
2008-07-01 00:00:00,-119.22,53.03,58.49
2008-07-02 00:00:00,121.05,14.47,87.17
2008-07-03 00:00:00,-122.1,47.54,72.33
2008-07-03 00:00:00,92.0,21.44,96.59
2008-07-03 10:30:00,-122.1185,47.5498,72.3
2008-07-05 00:00:00,108.02,36.04,53.55
2008-07-05 00:00:00,-105.19,35.46,46.9
2008-07-06 00:00:00,18.66,-33.15,88.8
2008-07-07 00:00:00,104.1,30.71,60.32
2008-07-09 00:00:00,-81.6,38.34,85.17
2008-07-09 00:00:00,-91.07,42.8,69.14
2008-07-09 00:00:00,-82.26,37.66,94.32
2008-07-10 00:00:00,47.56,40.31,68.64
2008-07-10 00:00:00,-3.0,55.15,94.19
2008-07-10 00:00:00,112.49,37.39,60.07
2008-07-11 00:00:00,104.63,28.76,67.52
2008-07-12 00:00:00,-118.2,36.8,32.13
2008-07-13 00:00:00,-107.87,37.25,54.95
2008-07-13 00:00:00,109.48,30.28,67.57
2008-07-14 00:00:00,8.98,45.97,65.3
2008-07-14 00:00:00,-73.86,4.41,84.6
2008-07-15 00:00:00,-118.46,35.6,40.17
2008-07-15 00:00:00,103.71,27.33,82.38
2008-07-15 00:00:00,98.3,7.89,83.69
2008-07-16 00:00:00,-91.34,43.89,77.99
